img1,img2,question,answer1,answer2,correct
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_241_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_241_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Bed was moved left and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_98_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_98_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,HousePlant was moved left and away from the camera ,HousePlant was moved right and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_279_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_279_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Box was moved right and away from the camera ,Box was moved left and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_775_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_775_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved right and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_693_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_693_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Sofa was moved left and away from the camera ,Sofa was moved right and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_397_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_397_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_392_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_392_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Book was moved right and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_118_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_118_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,tied black garbage bag was moved right and towards the camera ,tied black garbage bag was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_830_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_830_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Dresser was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_821_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_821_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,TVStand was moved right and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_607_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_607_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_394_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_394_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,sofa was moved right and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_136_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_136_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Dresser was moved left and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_553_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_553_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,HousePlant was moved left and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_403_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_403_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,HousePlant was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_288_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_288_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and towards the camera ,Chair was moved right and away from the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_804_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_804_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and towards the camera ,Chair was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_521_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_521_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Chair was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_750_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_750_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,orange rhode island novelty basketball was moved left and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_673_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_673_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,DiningTable was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_95_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_95_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Pot was moved right and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_800_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_800_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,frontloading clothes dryer with digital display was moved left and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_527_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_527_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved right and towards the camera ,Chair was moved left and away from the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_758_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_758_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Dresser was moved left and towards the camera ,Dresser was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_719_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_719_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,FloorLamp was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_856_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_856_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Bed was moved right and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_621_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_621_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,HousePlant was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_787_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_787_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Bed was moved left and away from the camera ,Bed was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_500_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_500_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Chair was moved left and towards the camera ,Chair was moved right and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_323_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_323_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,DiningTable was moved left and away from the camera ,DiningTable was moved right and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_887_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_887_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Television was moved right and away from the camera ,Television was moved left and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_266_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_266_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,blue translucent garbage bag was moved right and towards the camera ,blue translucent garbage bag was moved left and away from the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_121_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_121_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,GarbageCan was moved right and towards the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_474_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_474_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,sandal color sperical shape hamper was moved right and away from the camera ,sandal color sperical shape hamper was moved left and towards the camera ,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_292_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_292_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Sofa was moved left and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_363_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_363_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,GarbageCan was moved right and towards the camera ,GarbageCan was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_167_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_167_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,Bed was moved left and away from the camera ,no objects moved,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_737_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_737_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,HousePlant was moved left and away from the camera ,HousePlant was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_873_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_873_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Chair was moved left and away from the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_885_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_885_0_1.jpg,Were any of the objects in the initial image that you can still see in the second image moved from their original positions?,no objects moved,Chair was moved right and towards the camera ,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_792_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_792_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated right and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_764_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_764_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_420_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_420_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated left and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_555_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_555_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated left and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_329_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_329_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,rotated left,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_569_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_569_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_300_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_300_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and moved forward,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_111_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_111_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,did not move,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_797_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_797_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_365_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_365_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and rotated left,rotated right and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_165_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_165_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,rotated left,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_102_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_102_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right and moved forward,did not move,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_649_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_649_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right and moved forward,did not move,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_485_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_485_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated left and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_437_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_437_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right and rotated right,rotated left and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_438_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_438_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and moved forward,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_459_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_459_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left,rotated right,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_687_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_687_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,did not move,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_357_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_357_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left,rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_242_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_242_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right and moved forward,rotated left and rotated left,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_471_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_471_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_624_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_624_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,rotated left,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_351_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_351_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_841_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_841_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_303_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_303_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and moved forward,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_522_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_522_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left,rotated right,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_462_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_462_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated right,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_550_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_550_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,did not move,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_875_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_875_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated left,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_421_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_421_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right,rotated left,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_449_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_449_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left,rotated right,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_882_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_882_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,did not move,rotated right,2
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_389_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_389_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated left and moved forward,rotated right and moved forward,1
https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_286_0_0.jpg,https://cs-people.bu.edu/array/research/r2d3/multi_qa_ims/human_study/navigation_val_v2_286_0_1.jpg,The first image is from the beginning of the video and the second image is from the end. How did the camera likely move when shooting the video?,rotated right and rotated right,rotated left and moved forward,2
